
# Surface 0 of 1 surfaces

# Curve title: "X(u,v),Y(u,v),Z(v)"
# IsoCurve 0, 25 points
# x y z type
 6.00077e-15  0 -98 i
 5.7963e-15  1.55311e-15 -98 i
 5.19682e-15  3.00038e-15 -98 i
 4.24318e-15  4.24318e-15 -98 i
 3.00038e-15  5.19682e-15 -98 i
 1.55311e-15  5.7963e-15 -98 i
 3.67441e-31  6.00077e-15 -98 i
-1.55311e-15  5.7963e-15 -98 i
-3.00038e-15  5.19682e-15 -98 i
-4.24318e-15  4.24318e-15 -98 i
-5.19682e-15  3.00038e-15 -98 i
-5.7963e-15  1.55311e-15 -98 i
-6.00077e-15  7.34882e-31 -98 i
-5.7963e-15 -1.55311e-15 -98 i
-5.19682e-15 -3.00038e-15 -98 i
-4.24318e-15 -4.24318e-15 -98 i
-3.00038e-15 -5.19682e-15 -98 i
-1.55311e-15 -5.7963e-15 -98 i
-1.10232e-30 -6.00077e-15 -98 i
 1.55311e-15 -5.7963e-15 -98 i
 3.00038e-15 -5.19682e-15 -98 i
 4.24318e-15 -4.24318e-15 -98 i
 5.19682e-15 -3.00038e-15 -98 i
 5.7963e-15 -1.55311e-15 -98 i
 6.00077e-15 -1.46976e-30 -98 i

# IsoCurve 1, 25 points
# x y z type
 12.7916  0 -97.1616 i
 12.3557  3.3107 -97.1616 i
 11.0778  6.39578 -97.1616 i
 9.045  9.045 -97.1616 i
 6.39578  11.0778 -97.1616 i
 3.3107  12.3557 -97.1616 i
 7.83258e-16  12.7916 -97.1616 i
-3.3107  12.3557 -97.1616 i
-6.39578  11.0778 -97.1616 i
-9.045  9.045 -97.1616 i
-11.0778  6.39578 -97.1616 i
-12.3557  3.3107 -97.1616 i
-12.7916  1.56652e-15 -97.1616 i
-12.3557 -3.3107 -97.1616 i
-11.0778 -6.39578 -97.1616 i
-9.045 -9.045 -97.1616 i
-6.39578 -11.0778 -97.1616 i
-3.3107 -12.3557 -97.1616 i
-2.34977e-15 -12.7916 -97.1616 i
 3.3107 -12.3557 -97.1616 i
 6.39578 -11.0778 -97.1616 i
 9.045 -9.045 -97.1616 i
 11.0778 -6.39578 -97.1616 i
 12.3557 -3.3107 -97.1616 i
 12.7916 -3.13303e-15 -97.1616 i

# IsoCurve 2, 25 points
# x y z type
 25.3643  0 -94.6607 i
 24.5  6.56476 -94.6607 i
